owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
scrapy,scrapy,5454,2024-01-12 10:26:41+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6204,2024-01-12 17:50:43+00:00,,,kmike,manual_or_unknown
scrapy,scrapy,6214,2024-02-02 13:54:05+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6207,2024-02-05 11:52:03+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,4833,2024-02-14 19:21:06+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5932,2024-02-21 13:27:43+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6258,2024-02-29 12:12:02+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6286,2024-03-12 09:17:11+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6292,2024-04-05 08:49:12+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6308,2024-04-08 09:47:55+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6307,2024-04-29 14:28:01+00:00,,,culpgrant,manual_or_unknown
scrapy,scrapy,6342,2024-05-10 07:47:41+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6343,2024-05-10 09:43:50+00:00,,,Gallaecio,manual_or_unknown
psf,requests,4392,2024-05-19 18:59:48+00:00,,,sethmlarson,manual_or_unknown
psf,requests,4592,2024-05-19 19:10:14+00:00,,,sethmlarson,manual_or_unknown
psf,requests,2925,2024-05-20 14:35:55+00:00,,,sethmlarson,manual_or_unknown
psf,requests,2708,2024-05-20 14:36:16+00:00,,,sethmlarson,manual_or_unknown
scrapy,scrapy,6361,2024-05-27 10:36:35+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6365,2024-05-28 08:43:00+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6383,2024-06-05 04:34:47+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6328,2024-06-06 05:55:57+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5306,2024-10-16 19:32:31+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5032,2024-10-16 19:55:11+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6504,2024-10-29 18:08:39+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6505,2024-11-14 19:48:08+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6593,2025-01-07 09:40:51+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,5402,2025-01-08 11:00:07+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5220,2025-01-14 11:44:44+00:00,,,Laerte,manual_or_unknown
scrapy,scrapy,6600,2025-01-14 15:40:25+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6619,2025-01-22 11:14:34+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6617,2025-01-23 16:06:47+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6632,2025-01-27 10:21:32+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6450,2025-01-28 09:29:49+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6644,2025-02-04 12:49:23+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6636,2025-02-06 10:47:41+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6665,2025-02-14 15:40:07+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6812,2025-05-20 05:51:32+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6861,2025-06-05 13:02:32+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6857,2025-06-06 11:02:16+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6878,2025-06-09 07:53:44+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6894,2025-06-23 16:56:30+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6784,2025-06-23 17:36:55+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6783,2025-06-23 17:36:56+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6908,2025-07-01 12:24:10+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6834,2025-07-02 19:35:59+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6972,2025-07-28 18:37:47+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6915,2025-08-01 09:01:42+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,7003,2025-08-18 15:00:24+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7042,2025-09-10 13:17:18+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,7057,2025-09-29 08:41:24+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6996,2025-10-06 09:19:36+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6876,2025-10-09 20:14:35+00:00,4865a500b62fada0be245b9201339cc3d093c6d2,https://api.github.com/repos/scrapy/scrapy/commits/4865a500b62fada0be245b9201339cc3d093c6d2,Gallaecio,commit_linked
scrapy,scrapy,6195,2025-10-15 14:15:09+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6350,2025-12-05 17:03:23+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7158,2026-01-05 11:55:59+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6398,2026-02-10 08:49:11+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,7060,2026-02-13 08:45:11+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6820,2026-02-19 10:22:01+00:00,,,Gallaecio,manual_or_unknown
scrapy,scrapy,6369,2026-03-24 09:52:58+00:00,,,AdrianAtZyte,manual_or_unknown
scrapy,scrapy,5961,2026-03-27 18:46:20+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5379,2026-04-14 15:13:23+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,6859,2026-04-22 09:01:57+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7426,2026-04-22 14:00:42+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7445,2026-04-22 14:01:04+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,4217,2026-05-02 21:11:44+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,5990,2026-06-09 08:40:02+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7552,2026-06-10 19:59:04+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7604,2026-06-15 06:41:57+00:00,,,AdrianAtZyte,manual_or_unknown
scrapy,scrapy,7597,2026-06-15 19:24:46+00:00,,,wRAR,manual_or_unknown
scrapy,scrapy,7601,2026-06-17 09:56:24+00:00,,,AdrianAtZyte,manual_or_unknown
scrapy,scrapy,7626,2026-06-19 04:49:34+00:00,,,AdrianAtZyte,manual_or_unknown
