owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
pallets,flask,1173,2014-10-19 18:20:57+00:00,,,untitaker,manual_or_unknown
pallets,flask,1167,2014-10-19 18:23:11+00:00,,,untitaker,manual_or_unknown
psf,requests,2345,2014-11-30 19:12:43+00:00,,,kennethreitz,manual_or_unknown
psf,requests,1622,2015-01-19 09:25:49+00:00,,,Lukasa,manual_or_unknown
psf,requests,844,2015-01-19 09:29:14+00:00,,,Lukasa,manual_or_unknown
pallets,flask,1330,2015-01-29 09:24:38+00:00,,,KarelJakubec,manual_or_unknown
psf,requests,2336,2015-03-02 09:49:24+00:00,,,glaslos,manual_or_unknown
pallets,flask,1406,2015-03-29 17:16:25+00:00,,,untitaker,manual_or_unknown
psf,requests,2530,2015-04-06 21:54:22+00:00,,,Lukasa,manual_or_unknown
psf,requests,2540,2015-04-11 19:11:01+00:00,,,Lukasa,manual_or_unknown
psf,requests,2503,2015-05-03 15:06:00+00:00,,,Lukasa,manual_or_unknown
psf,requests,2229,2015-05-03 15:12:33+00:00,,,Lukasa,manual_or_unknown
psf,requests,2599,2015-05-14 06:15:18+00:00,,,Lukasa,manual_or_unknown
psf,requests,2455,2015-05-31 12:57:28+00:00,,,Lukasa,manual_or_unknown
psf,requests,2620,2015-06-02 20:53:50+00:00,,,jongiddy,manual_or_unknown
psf,requests,2255,2015-08-31 09:45:01+00:00,,,Lukasa,manual_or_unknown
psf,requests,1572,2015-10-05 14:09:46+00:00,,,Lukasa,manual_or_unknown
psf,requests,2756,2015-10-06 14:52:47+00:00,,,Lukasa,manual_or_unknown
psf,requests,2844,2015-10-23 12:24:36+00:00,,,Lukasa,manual_or_unknown
pallets,flask,1169,2015-11-07 09:15:11+00:00,,,untitaker,manual_or_unknown
psf,requests,2997,2016-02-05 22:53:55+00:00,,,kennethreitz,manual_or_unknown
psf,requests,2998,2016-02-10 08:46:49+00:00,,,Lukasa,manual_or_unknown
psf,requests,2935,2016-03-09 08:17:03+00:00,,,Lukasa,manual_or_unknown
psf,requests,3068,2016-03-28 15:35:07+00:00,,,Lukasa,manual_or_unknown
psf,requests,3090,2016-04-15 13:36:43+00:00,,,bodgit,manual_or_unknown
psf,requests,3028,2016-04-16 04:05:38+00:00,,,sigmavirus24,manual_or_unknown
psf,requests,1685,2016-04-16 04:18:33+00:00,,,sigmavirus24,manual_or_unknown
pallets,flask,1124,2016-05-26 19:29:49+00:00,,,mitsuhiko,manual_or_unknown
pallets,flask,1427,2016-06-03 16:17:04+00:00,,,b4stien,manual_or_unknown
pallets,flask,1893,2016-06-07 17:32:49+00:00,,,untitaker,manual_or_unknown
psf,requests,3009,2016-08-05 00:10:35+00:00,,,sigmavirus24,manual_or_unknown
psf,requests,3490,2016-08-12 19:57:40+00:00,,,sigmavirus24,manual_or_unknown
pallets,flask,1902,2016-08-22 18:53:45+00:00,,,untitaker,manual_or_unknown
psf,requests,3518,2016-08-25 12:45:16+00:00,,,Lukasa,manual_or_unknown
psf,requests,3481,2016-09-11 09:11:16+00:00,,,Lukasa,manual_or_unknown
pallets,flask,1980,2016-09-11 16:05:28+00:00,,,untitaker,manual_or_unknown
psf,requests,3578,2016-09-17 07:19:01+00:00,c12122970abd651d1d9a05aa2a9535a53a9c041f,https://api.github.com/repos/psf/requests/commits/c12122970abd651d1d9a05aa2a9535a53a9c041f,Lukasa,commit_linked
psf,requests,2707,2016-09-23 06:43:09+00:00,,,jayvdb,manual_or_unknown
psf,requests,3359,2016-09-24 17:01:11+00:00,,,Lukasa,manual_or_unknown
psf,requests,3597,2016-09-29 07:09:41+00:00,,,Lukasa,manual_or_unknown
psf,requests,3689,2016-11-16 10:33:48+00:00,,,Lukasa,manual_or_unknown
psf,requests,3696,2016-11-16 18:38:12+00:00,,,hussaintamboli,manual_or_unknown
psf,requests,3683,2016-11-30 15:07:22+00:00,,,Lukasa,manual_or_unknown
