owner,repo,project,issue_number,title,created_at,closed_at,fix_time_days,comments,labels,html_url,closed_event_created_at,commit_id,commit_message,commit_date,total_changes,additions,deletions,changed_files,linked_to_commit,closure_type
pallets,flask,pallets/flask,1995,No response and No exception traceback when render_template failed and DEBUG=True,2016-08-27 06:14:30+00:00,2017-05-29 19:50:13+00:00,275.5664699074074,22,blocker;bug,https://github.com/pallets/flask/issues/1995,2017-05-29 19:50:13+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1980,"""Larger Applications"" docs don't play nicely with flask run",2016-08-09 17:51:00+00:00,2016-09-11 16:05:28+00:00,32.92671296296296,7,docs;bug,https://github.com/pallets/flask/issues/1980,2016-09-11 16:05:28+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1911,Wrong import json library,2016-06-14 09:02:06+00:00,2017-05-22 19:37:58+00:00,342.441574074074,24,bug;good first issue;json,https://github.com/pallets/flask/issues/1911,2017-05-22 19:37:58+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1902,Import error with some examples,2016-06-09 20:35:18+00:00,2016-08-22 18:53:44+00:00,73.92946759259259,30,docs;bug;cli,https://github.com/pallets/flask/issues/1902,2016-08-22 18:53:45+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1893,Travis 3.3-devel job fails with error about urllib2 in Werkzeug,2016-06-07 16:28:49+00:00,2016-06-07 17:32:48+00:00,0.0444328703703703,3,bug;testing,https://github.com/pallets/flask/issues/1893,2016-06-07 17:32:49+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1877,jsonify no longer causes Content-Length to be set on returned Response object,2016-06-03 08:24:29+00:00,2017-05-30 20:47:38+00:00,361.5160763888889,13,bug,https://github.com/pallets/flask/issues/1877,2017-05-30 20:47:38+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1837,Setting error handler for unknown code fails,2016-05-31 07:51:12+00:00,2017-06-01 01:10:00+00:00,365.7213888888889,23,docs;bug,https://github.com/pallets/flask/issues/1837,2017-06-01 01:10:00+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1829,"""[Errno 2] No such file or directory"" on flask run with FLASK_DEBUG=1",2016-05-29 19:03:30+00:00,2016-12-26 18:59:20+00:00,210.9971064814815,30,bug;cli,https://github.com/pallets/flask/issues/1829,2016-12-26 18:59:20+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1427,Bug in send_file with temp files,2015-04-10 16:52:33+00:00,2016-06-03 16:17:04+00:00,419.9753587962964,12,bug,https://github.com/pallets/flask/issues/1427,2016-06-03 16:17:04+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1406,Generic error handler for any exception,2015-03-29 15:54:55+00:00,2015-03-29 17:16:25+00:00,0.0565972222222222,8,bug,https://github.com/pallets/flask/issues/1406,2015-03-29 17:16:25+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1348,sessions not saved when streaming,2015-02-08 19:03:16+00:00,2017-06-03 19:26:15+00:00,846.015960648148,3,bug;session,https://github.com/pallets/flask/issues/1348,2017-06-03 19:26:15+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1330,Method is_json does not support capital letters in mimetype,2015-01-28 15:34:45+00:00,2015-01-29 09:24:38+00:00,0.742974537037037,5,bug,https://github.com/pallets/flask/issues/1330,2015-01-29 09:24:38+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1173,python3 -mpdb myflaskapp.py fon ubuntu 14.04,2014-09-10 17:17:49+00:00,2014-10-19 18:20:57+00:00,39.04384259259259,7,bug,https://github.com/pallets/flask/issues/1173,2014-10-19 18:20:57+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1169,"BUG in ""send_file"" and ""send_from_directory""",2014-09-04 10:38:47+00:00,2015-11-07 09:15:11+00:00,428.94194444444446,40,bug,https://github.com/pallets/flask/issues/1169,2015-11-07 09:15:11+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1167,Randomly Unresponsive After Strange Character Requests,2014-09-03 20:37:59+00:00,2014-10-19 18:23:11+00:00,45.90638888888889,8,bug,https://github.com/pallets/flask/issues/1167,2014-10-19 18:23:11+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,1124,"CLI: ""flask"" command help doesn't list custom commands",2014-07-16 08:39:22+00:00,2016-05-26 19:29:49+00:00,680.4517013888889,11,bug;cli,https://github.com/pallets/flask/issues/1124,2016-05-26 19:29:49+00:00,,,,,,,,False,manual_or_unknown
pallets,flask,pallets/flask,941,Registering a handler for HTTPException has no effect,2014-01-03 18:58:20+00:00,2017-05-23 19:55:33+00:00,1236.0397337962963,20,blocker;bug,https://github.com/pallets/flask/issues/941,2017-05-23 19:55:33+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,6544,Conflicting requirements for urllib3,2023-10-06 20:05:38+00:00,2023-10-06 22:34:25+00:00,0.1033217592592592,1,Bug,https://github.com/psf/requests/issues/6544,2023-10-06 22:34:25+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,6104,ValueError when calling requests.get on windows systems.,2022-04-06 17:14:25+00:00,2022-06-01 17:38:00+00:00,56.01637731481481,14,Bug;Contributor Friendly,https://github.com/psf/requests/issues/6104,2022-06-01 17:38:01+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,6027,Proxy authentication bug,2022-01-03 22:12:00+00:00,2022-01-04 16:04:25+00:00,0.7447337962962962,12,Bug,https://github.com/psf/requests/issues/6027,2022-01-04 16:04:26+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,5921,requests should ignore REQUESTS_CA_BUNDLE when session.verify is False,2021-09-01 12:18:14+00:00,2021-09-04 21:37:49+00:00,3.3885995370370368,4,Bug;Breaking API Change,https://github.com/psf/requests/issues/5921,2021-09-04 21:37:49+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,5891,Session requests are ~70% slower in version 2.26.0,2021-07-28 16:43:39+00:00,2021-12-30 21:40:46+00:00,155.2063310185185,5,Bug,https://github.com/psf/requests/issues/5891,2021-12-30 21:40:47+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,5888,Manually set Proxy-Authorization header is always removed in 2.26,2021-07-27 14:24:46+00:00,2021-11-24 19:28:59+00:00,120.21126157407409,5,Bug,https://github.com/psf/requests/issues/5888,2021-11-24 19:28:59+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,5855,proxy URLs without schemes break under Python 3.9,2021-07-01 23:56:49+00:00,2021-12-30 21:36:55+00:00,181.90284722222225,6,Bug,https://github.com/psf/requests/issues/5855,2021-12-30 21:36:55+00:00,,,,,,,,False,manual_or_unknown
